english,spanish,english_length,spanish_length
how did the exam go ?,¿ cómo te fue el examen ?,6,7
tom s eating .,tom está comiendo .,4,4
he is not the sharpest knife in the drawer .,él no es la persona más inteligente del grupo .,10,10
i have a callus on the sole of my foot .,me ha salido una dureza en la planta del pie .,11,11
tom has no respect for authority .,tom no tiene respeto por las autoridades .,7,8
it is difficult to speak three languages .,es difícil hablar tres lenguas .,8,6
why don t we ask tom about that ?,¿ por qué no le preguntamos a tom sobre eso ?,9,11
tom was killed in a train accident .,tom murió en un accidente de tren .,8,8
i ran to catch up with tom .,corrí para alcanzar a tom .,8,6
this isn t true love .,esto no es amor verdadero .,6,6
you never said no .,nunca dijiste que no .,5,5
he devoted all his time to the study of history .,él dedicó todo su tiempo al estudio de la historia .,11,11
people aren t rational .,la gente no es racional .,5,6
that word isn t in my dictionary .,esa palabra no está en mi diccionario .,8,8
tom died .,tom ha muerto .,3,4
toss your gun on the ground .,tira tu pistola al suelo .,7,6
tom isn t going anywhere this afternoon .,tom no se va a ninguna parte esta tarde .,8,10
don t you feel anything ?,¿ es que no sientes nada ?,6,7
let s give tom a big hand .,echémosle una mano a tom .,8,6
tom phoned mary .,tom telefoneó a mary .,4,5
let s hurry back to our hotel .,démonos prisa de vuelta a nuestro hotel .,8,8
leave the room .,salí de la habitación .,4,5
does tom wear glasses ?,¿ usa lentes tom ?,5,5
i didn t know she was married .,no sabía que ella estuviera casada .,8,7
he loves trains .,le gustan los trenes .,4,5
why don t you eat vegetables ?,¿ por qué no comes vegetales ?,7,7
be careful that the thread doesn t break .,cuidado no se rompa el hilo .,9,7
the party was a big disappointment .,la fiesta fue una gran decepción .,7,7
my father made me wash the car .,mi padre me hizo lavar el coche .,8,8
calm down .,tranquilízate .,3,2
how far is it from the airport to the hotel ?,¿ qué tan lejos queda el hotel del aeropuerto ?,11,10
i m the best .,soy la mejor .,5,4
write down the medications you need on this piece of paper .,escribe en este papel las medicinas que necesites .,12,9
tom saw where mary lives .,tom vio donde vive mary .,6,6
tom plays chess better than me .,tom juega al ajedrez mejor que yo .,7,8
i ll be your first patient .,yo seré tu primer paciente .,7,6
tom scrubbed his feet .,tom se restregó sus pies .,5,6
tom sent me a present .,tom me envió un regalo .,6,6
let s have a closer look at this .,echemos un vistazo más de cerca a esto .,9,9
i belong to the baseball team .,pertenezco al equipo de béisbol .,7,6
the mountains in the himalayas are higher than those in the andes .,las montañas de los himalayas son más altas que las de los andes .,13,14
you are the best .,eres la mejor .,5,4
i agree with what you say to some extent .,estoy de acuerdo con lo que dices hasta cierto punto .,10,11
the prosecution offered a plea deal .,la fiscalía ofreció un acuerdo .,7,6
tom spotted a pattern in the data .,tom dio con una pauta en los datos .,8,9
hang the mirror on the wall .,cuelga el espejo en la pared .,7,7
she tried to swim .,ella intentó nadar .,5,4
i don t have classes tomorrow .,mañana no tengo clase .,7,5
i need a miracle .,necesito un milagro .,5,4
let s not deal with that problem right now .,no tratemos ese problema en este momento .,10,8
she s just being snobbish .,ella está solo siendo arrogante .,6,6
don t let them see you .,no dejes que te vean .,7,6
let me out .,¡ dejadme salir !,4,4
i promise you i ll never leave you .,te prometo que nunca te abandonaré .,9,7
this hut is a very special place .,esta cabaña es un lugar muy especial .,8,8
i m almost certain about that .,estoy casi seguro de eso .,7,6
tom isn t as smart as you .,tomás no es tan inteligente como tú .,8,8
it s time for dinner .,es hora de cenar .,6,5
cats don t like to get wet .,a los gatos no les gusta mojarse .,8,8
who taught you how to paint ?,¿ quién te enseñó a pintar ?,7,7
he didn t mean to hurt you .,él no quería hacerte daño .,8,6
the company was founded in 1974 .,la compañía fue fundada en 1974 .,7,7
what are you doing sunday ?,¿ qué harás el domingo ?,6,6
how s everybody ?,¿ cómo están todos ?,4,5
what part of my explanation didn t you understand ?,¿ qué parte de mi explicación no entendiste ?,10,9
"hey , don t go .","oiga , no vaya .",6,5
i ve never traveled abroad .,nunca he viajado al extranjero .,6,6
please keep me informed about whatever happens in my absence .,manténgame por favor informado de lo que pase cuando yo no esté .,11,13
it took me several hours to cook it .,cocinarlo me tomó varias horas .,9,6
i still make mistakes .,todavía cometo errores .,5,4
i saw him coming with his briefcase under his arm .,lo vi viniendo con su maletín debajo del brazo .,11,10
tom doesn t think he ll get in trouble .,tom no cree que se vaya a meter en problemas .,10,11
this is an important event .,este es un evento importante .,6,6
i burned them .,yo los quemé .,4,4
the place is almost deserted .,el lugar está casi desierto .,6,6
why does tom look so upset ?,¿ por qué tom parece tan disgustado ?,7,8
you re going to like it .,te va a gustar .,7,5
here you are .,coge .,4,2
the barbers around here aren t good .,los peluqueros de por aquí no son buenos .,8,9
what s the difference between a star and a planet ?,¿ cuál es la diferencia entre una estrella y un planeta ?,11,12
he often makes people angry .,él hace enojar a la gente a menudo .,6,9
i don t know what that thing is .,no sé qué es esa cosa .,9,7
when can i see you next time ?,¿ cuándo te puedo ver de nuevo ?,8,8
are you sleeping ?,¿ ya te has dormido ?,4,6
you can t buy it anywhere but there .,no se puede comprar en ningún otro lugar .,9,9
that was bad .,eso fue malo .,4,4
